code,description
DIAGNOSIS//ICD//10//T451X5A,"Adverse effect of antineoplastic and immunosuppressive drugs, initial encounter"
DIAGNOSIS//ICD//10//E1136,Type 2 diabetes mellitus with diabetic cataract
DIAGNOSIS//ICD//10//Y92009,Unspecified place in unspecified non-institutional (private) residence as the place of occurrence of the external cause
DIAGNOSIS//ICD//10//Z6834,"Body mass index (BMI) 34.0-34.9, adult"
DRG//HCFA//683//RENAL FAILURE W CC,
MEDICATION//STOP//Rivaroxaban,
MEDICATION//STOP//Prochlorperazine,
MEDICATION//CloNIDine//Administered,
MEDICATION//START//CloNIDine,
MEDICATION//Magnesium Sulfate Replacement (Critical Care and Oncology)//UNK,
MEDICATION//Prochlorperazine//Administered,
MEDICATION//Acyclovir//Administered,
MEDICATION//START//Cepacol (Sore Throat Lozenge),
MEDICATION//START//Guaifenesin-Dextromethorphan,
MEDICATION//Potassium Chloride Replacement (Critical Care and Oncology) //Not Given,
MEDICATION//Cepacol (Sore Throat Lozenge)//Administered,
MEDICATION//START//Clindamycin,
MEDICATION//Clindamycin//Administered,
MEDICATION//STOP//Clindamycin,
DIAGNOSIS//ICD//10//D6481,Anemia due to antineoplastic chemotherapy
DIAGNOSIS//ICD//10//M7989,Other specified soft tissue disorders
DIAGNOSIS//ICD//10//R002,Palpitations
DIAGNOSIS//ICD//10//B348,Other viral infections of unspecified site
DRG//HCFA//866//VIRAL ILLNESS W/O MCC,
DRG//APR//723//VIRAL ILLNESS,
MEDICATION//STOP//CloNIDine,
MEDICATION//STOP//Cepacol (Sore Throat Lozenge),
MEDICATION//STOP//Guaifenesin-Dextromethorphan,
LAB//51261//UNK,
LAB//51145//N/A,Basophilic stippling [Presence] in Blood by Light microscopy
LAB//51296//N/A,Dacrocytes [Presence] in Blood by Light microscopy
LAB//51268//N/A,Polychromasia [Presence] in Blood by Light microscopy
LAB//51252//N/A,Microcytes [Presence] in Blood
TRANSFER_TO//admit//Hematology/Oncology Intermediate,
TRANSFER_TO//transfer//Hematology/Oncology Intermediate,
MEDICATION//Glucose Gel//Administered,
MEDICATION//Fleet Enema (Mineral Oil)//Administered,
MEDICATION//START//Fleet Enema (Mineral Oil),
MEDICATION//CloNIDine//Not Given,
MEDICATION//Gabapentin//Not Given,
MEDICATION//STOP//Fleet Enema (Mineral Oil),
MEDICATION//ZIPRASidone Hydrochloride//Not Given,
MEDICATION//Sodium Chloride//Administered,
MEDICATION//START//Sodium Chloride,
MEDICATION//Acyclovir//Not Given,
MEDICATION//CloNIDine//Delayed Administered,
MEDICATION//Magnesium Citrate//Hold Dose,
MEDICATION//STOP//Sodium Chloride,
MEDICATION//Magnesium Citrate//Delayed Administered,
PROCEDURE//ICD//10//0DBH8ZX,"Excision of Cecum, Via Natural or Artificial Opening Endoscopic, Diagnostic"
PROCEDURE//ICD//10//0DBM8ZX,"Excision of Descending Colon, Via Natural or Artificial Opening Endoscopic, Diagnostic"
DIAGNOSIS//ICD//10//Z6835,"Body mass index (BMI) 35.0-35.9, adult"
DIAGNOSIS//ICD//10//K635,Polyp of colon
DIAGNOSIS//ICD//10//K625,Hemorrhage of anus and rectum
DIAGNOSIS//ICD//10//K648,Other hemorrhoids
DIAGNOSIS//ICD//10//R791,Abnormal coagulation profile
DIAGNOSIS//ICD//10//E11649,Type 2 diabetes mellitus with hypoglycemia without coma
DIAGNOSIS//ICD//10//M549,"Dorsalgia, unspecified"
DIAGNOSIS//ICD//10//K6389,Other specified diseases of intestine
DIAGNOSIS//ICD//10//Z8547,Personal history of malignant neoplasm of testis
DIAGNOSIS//ICD//10//M25519,Pain in unspecified shoulder
DIAGNOSIS//ICD//10//I481,Persistent atrial fibrillation
DRG//HCFA//378//G.I. HEMORRHAGE W CC,
LAB//51198//N/A,Microscopic observation [Identifier] in Specimen by Wright stain
LAB//52111//N/A,Burr cells [Presence] in Blood by Light microscopy
LAB//51134//N/A,Acanthocytes [Presence] in Blood by Light microscopy
LAB//51197//N/A,Elliptocytes [Presence] in Blood by Light microscopy
LAB//50915//ng/mL FEU,
MEDICATION//Oxycodone-Acetaminophen (5mg-325mg)//Administered,
MEDICATION//START//Fluticasone Propionate NASAL,
MEDICATION//Fluticasone Propionate NASAL//Administered,
MEDICATION//PredniSONE//Administered,
MEDICATION//START//PredniSONE,
MEDICATION//START//Colchicine,
MEDICATION//Colchicine//Administered,
MEDICATION//Fluticasone Propionate NASAL//Not Given,
MEDICATION//STOP//Colchicine,
MEDICATION//STOP//PredniSONE,
DIAGNOSIS//ICD//10//I309,"Acute pericarditis, unspecified"
DIAGNOSIS//ICD//10//Z6836,"Body mass index (BMI) 36.0-36.9, adult"
DIAGNOSIS//ICD//10//Z7984,Long term (current) use of oral hypoglycemic drugs
DIAGNOSIS//ICD//10//G4700,"Insomnia, unspecified"
DIAGNOSIS//ICD//10//E1142,Type 2 diabetes mellitus with diabetic polyneuropathy
DIAGNOSIS//ICD//10//E860,Dehydration
DRG//HCFA//315//OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,
MEDICATION//STOP//Fluticasone Propionate NASAL,
MEDICATION//Vancomycin//Started,
MEDICATION//Divalproex (DELayed Release)//Administered,
MEDICATION//Vancomycin//Stopped,
MEDICATION//MetroNIDAZOLE//Started,
MEDICATION//CefePIME//Started,
MEDICATION//MetroNIDAZOLE//Stopped,
LAB//229475//UNK,
PROCEDURE//START//229532,
MEDICATION//Enoxaparin Sodium//Administered,
LAB//51518///hpf,Leukocyte clumps [Presence] in Urine sediment by Light microscopy
PROCEDURE//END//229532,
LAB//51287//N/A,Schistocytes [Presence] in Blood by Light microscopy
MEDICATION//ibrutinib//Administered,
MEDICATION//START//ibrutinib,
PROCEDURE//ICD//10//0W9D30Z,"Drainage of Pericardial Cavity with Drainage Device, Percutaneous Approach"
MEDICATION//Diltiazem// in Other Location,
TRANSFER_TO//transfer//Neuro Surgical Intensive Care Unit (Neuro SICU),
ICU_ADMISSION//Neuro Surgical Intensive Care Unit (Neuro SICU),
MEDICATION//Ondansetron//Not Given,
MEDICATION//Ondansetron// in Other Location,
MEDICATION//OxyCODONE (Immediate Release)//Not Given,
INFUSION_START//229616,ondansetron Injectable Solution [Zofran]
INFUSION_END//229616,ondansetron Injectable Solution [Zofran]
LAB//51147//N/A,Bite cells [Presence] in Blood by Light microscopy
MEDICATION//Colchicine//Not Given,
MEDICATION//Lidocaine Jelly 2% (Glydo)//Not Given,
MEDICATION//NORepinephrine//Stopped in Other Location,
LAB//51386//%,Band form neutrophils/100 leukocytes in Body fluid
LAB//52369//#/uL,Nucleated cells [#/volume] in Body fluid
LAB//51422//%,Hematocrit [Volume Fraction] of Body fluid
LAB//51035//IU/L,Lactate dehydrogenase [Enzymatic activity/volume] in Body fluid
LAB//51025//g/dL,Albumin [Mass/volume] in Body fluid
LAB//51034//mg/dL,Glucose [Mass/volume] in Body fluid
LAB//51043//g/dL,Protein [Mass/volume] in Body fluid
LAB//225990//UNK,
LAB//225989//UNK,
LAB//223953//UNK,
LAB//223952//UNK,
LAB//223954//UNK,
MEDICATION//STOP//ibrutinib,
MEDICATION//Fluticasone Propionate NASAL//Hold Dose,
SUBJECT_FLUID_OUTPUT//226612//ml,
LAB//50873//N/A,Nuclear Ab [Presence] in Serum
LAB//50876//N/A,Smooth muscle Ab [Presence] in Serum
LAB//50871//N/A,Mitochondria Ab [Presence] in Serum by Immunofluorescence
LAB//50943//N/A,Hepatitis C virus Ab [Presence] in Serum or Plasma by Immunoassay
LAB//50940//N/A,Hepatitis B virus surface Ab [Presence] in Serum
LAB//50942//N/A,Hepatitis B virus core Ab [Presence] in Serum or Plasma by Immunoassay
LAB//51660//UNK,HPE4
LAB//50941//N/A,Hepatitis B virus surface Ag [Presence] in Serum or Plasma by Immunoassay
LAB//50937//N/A,
DIAGNOSIS//ICD//10//I314,Cardiac tamponade
DIAGNOSIS//ICD//10//F259,"Schizoaffective disorder, unspecified"
DIAGNOSIS//ICD//10//I313,Pericardial effusion (noninflammatory)
DIAGNOSIS//ICD//10//M940,Chondrocostal junction syndrome [Tietze]
DRG//APR//139//OTHER PNEUMONIA,
DRG//HCFA//193//SIMPLE PNEUMONIA & PLEURISY W MCC,
TRANSFER_TO//admit//Cardiology Surgery Intermediate,
DIAGNOSIS//ICD//10//E1165,Type 2 diabetes mellitus with hyperglycemia
DIAGNOSIS//ICD//10//E875,Hyperkalemia
DIAGNOSIS//ICD//10//Z6837,"Body mass index (BMI) 37.0-37.9, adult"
DIAGNOSIS//ICD//10//I319,"Disease of pericardium, unspecified"
MEDICATION//START//Benzonatate,
MEDICATION//Benzonatate//Administered,
MEDICATION//Magnesium Sulfate//Not Given,
MEDICATION//STOP//Benzonatate,
INFUSION_START//229654,amiodarone Injection
INFUSION_END//229654,amiodarone Injection
MEDICATION//START//Vitamin D3 ,
MEDICATION//Vitamin D3 / Placebo//Administered,
MEDICATION//STOP//Vitamin D3 ,
HOSPITAL_DISCHARGE//AGAINST ADVICE,
DIAGNOSIS//ICD//10//J208,Acute bronchitis due to other specified organisms
DIAGNOSIS//ICD//10//E222,Syndrome of inappropriate secretion of antidiuretic hormone
DIAGNOSIS//ICD//10//I69398,Other sequelae of cerebral infarction
DIAGNOSIS//ICD//10//D630,Anemia in neoplastic disease
DRG//HCFA//202//BRONCHITIS & ASTHMA W CC/MCC,
"DRG//APR//144//RESPIRATORY SIGNS, SYMPTOMS & MINOR DIAGNOSES",
HOSPITAL_ADMISSION//OBSERVATION ADMIT//CLINIC REFERRAL,
LAB//51292//N/A,Spherocytes [Presence] in Blood by Light microscopy
LAB//51462///hpf,Crystals.amorphous [Presence] in Urine sediment by Light microscopy
LAB//52012//UNK,UTX9
LAB//51089//N/A,Tetrahydrocannabinol [Presence] in Urine
MEDICATION//Enoxaparin Sodium//Not Given,
LAB//50880//N/A,Benzodiazepines [Presence] in Blood
LAB//51229//IU/mL,
LAB//52123//N/A,
MEDICATION//Losartan Potassium//Not Given,
MEDICATION//venetoclax//Not Given,
MEDICATION//START//venetoclax,
MEDICATION//STOP//venetoclax,
PROCEDURE//ICD//10//3E04305,"Introduction of Other Antineoplastic into Central Vein, Percutaneous Approach"
LAB//51228//IU/mL,
MEDICATION//START//Sarna Lotion,
MEDICATION//venetoclax//Administered,
MEDICATION//Sarna Lotion//Administered,
MEDICATION//Polyethylene Glycol//Delayed Administered,
DIAGNOSIS//ICD//10//I5023,Acute on chronic systolic (congestive) heart failure
DIAGNOSIS//ICD//10//C6290,"Malignant neoplasm of unspecified testis, unspecified whether descended or undescended"
DIAGNOSIS//ICD//10//I493,Ventricular premature depolarization
DIAGNOSIS//ICD//10//Z5111,Encounter for antineoplastic chemotherapy
DRG//HCFA//846//CHEMOTHERAPY W/O ACUTE LEUKEMIA AS SECONDARY DIAGNOSIS W MCC,
DRG//APR//696//OTHER CHEMOTHERAPY,
MEDICATION//STOP//Sarna Lotion,
HOSPITAL_ADMISSION//EU OBSERVATION//WALK-IN/SELF REFERRAL,
DIAGNOSIS//ICD//10//M533,"Sacrococcygeal disorders, not elsewhere classified"
DIAGNOSIS//ICD//10//M19019,"Primary osteoarthritis, unspecified shoulder"
DIAGNOSIS//ICD//10//F323,"Major depressive disorder, single episode, severe with psychotic features"
DIAGNOSIS//ICD//10//C9111,Chronic lymphocytic leukemia of B-cell type in remission
DIAGNOSIS//ICD//10//T383X1A,"Poisoning by insulin and oral hypoglycemic [antidiabetic] drugs, accidental (unintentional), initial encounter"
DIAGNOSIS//ICD//10//M109,"Gout, unspecified"
MEDICATION//START//MetFORMIN XR (Glucophage XR),
DIAGNOSIS//ICD//10//R61,Generalized hyperhidrosis
DIAGNOSIS//ICD//10//R638,Other symptoms and signs concerning food and fluid intake
DIAGNOSIS//ICD//10//R1013,Epigastric pain
DIAGNOSIS//ICD//10//Z8719,Personal history of other diseases of the digestive system
DIAGNOSIS//ICD//10//R748,Abnormal levels of other serum enzymes
MEDICATION//STOP//MetFORMIN XR (Glucophage XR),
LAB//51722//UNK,Cholesterol in LDL [Mass/volume] in Serum or Plasma
LAB//52024//mg/dL,Creatinine [Mass/volume] in Blood
LAB//52026//UNK,Estimated GFR (MDRD equation)
MEDICATION//START//Triamcinolone Acetonide 0.1% Cream,
MEDICATION//Triamcinolone Acetonide 0.1% Cream//Not Given,
MEDICATION//START//Topiramate (Topamax),
MEDICATION//Topiramate (Topamax)//Administered,
MEDICATION//Capsaicin 0.025%//Administered,
MEDICATION//Ramelteon//Not Given,
MEDICATION//START//Meclizine,
DIAGNOSIS//ICD//10//F09,Unspecified mental disorder due to known physiological condition
DIAGNOSIS//ICD//10//F325,"Major depressive disorder, single episode, in full remission"
DIAGNOSIS//ICD//10//I69344,Monoplegia of lower limb following cerebral infarction affecting left non-dominant side
DIAGNOSIS//ICD//10//I495,Sick sinus syndrome
DIAGNOSIS//ICD//10//F447,Conversion disorder with mixed symptom presentation
DIAGNOSIS//ICD//10//L299,"Pruritus, unspecified"
DIAGNOSIS//ICD//10//H53462,"Homonymous bilateral field defects, left side"
DIAGNOSIS//ICD//10//H8110,"Benign paroxysmal vertigo, unspecified ear"
DIAGNOSIS//ICD//10//D649,"Anemia, unspecified"
DIAGNOSIS//ICD//10//R2240,"Localized swelling, mass and lump, unspecified lower limb"
DRG//HCFA//880//ACUTE ADJUSTMENT REACTION & PSYCHOSOCIAL DYSFUNCTION,
DRG//APR//756//ACUTE ANXIETY & DELIRIUM STATES,
MEDICATION//STOP//Meclizine,
MEDICATION//STOP//Triamcinolone Acetonide 0.1% Cream,
MEDICATION//STOP//Topiramate (Topamax),
MEDICATION//Aluminum-Magnesium Hydrox.-Simethicone//Not Given,
MEDICATION//Famotidine//Not Given,
MEDICATION//Lidocaine Viscous 2%//Not Given,
MEDICATION//Aluminum-Magnesium Hydrox.-Simethicone//Delayed Administered,
MEDICATION//Famotidine//Delayed Administered,
MEDICATION//Lidocaine Viscous 2%//Delayed Administered,
HOSPITAL_ADMISSION//EW EMER.//WALK-IN/SELF REFERRAL,
MEDICATION//STOP//RisperiDONE,
MEDICATION//START//Nystatin-Triamcinolone Cream,
MEDICATION//START//RisperiDONE,
MEDICATION//Nystatin-Triamcinolone Cream//Not Given,
MEDICATION//STOP//Nystatin-Triamcinolone Cream,
MEDICATION//Nystatin-Triamcinolone Cream//Administered,
MEDICATION//Triamcinolone Acetonide 0.1% Cream//Administered,
PROCEDURE//ICD//10//0DD68ZX,"Extraction of Stomach, Via Natural or Artificial Opening Endoscopic, Diagnostic"
MEDICATION//Escitalopram Oxalate//Not Given,
MEDICATION//Magnesium Oxide//Not Given,
MEDICATION//Topiramate (Topamax)//Not Given,
MEDICATION//RisperiDONE//Not Given,
LAB//52425//UNK,XUCU
LAB//52427//UNK,UCU2
LAB//51460//N/A,Hemoglobin.gastrointestinal [Presence] in Stool
DIAGNOSIS//ICD//10//E781,Pure hyperglyceridemia
DIAGNOSIS//ICD//10//M19012,"Primary osteoarthritis, left shoulder"
DIAGNOSIS//ICD//10//T508X5A,"Adverse effect of diagnostic agents, initial encounter"
DIAGNOSIS//ICD//10//E1122,Type 2 diabetes mellitus with diabetic chronic kidney disease
DIAGNOSIS//ICD//10//M160,Bilateral primary osteoarthritis of hip
DIAGNOSIS//ICD//10//R7989,Other specified abnormal findings of blood chemistry
DIAGNOSIS//ICD//10//N141,"Nephropathy induced by other drugs, medicaments and biological substances"
DIAGNOSIS//ICD//10//L853,Xerosis cutis
DIAGNOSIS//ICD//10//K289,"Gastrojejunal ulcer, unspecified as acute or chronic, without hemorrhage or perforation"
DIAGNOSIS//ICD//10//R5383,Other fatigue
DIAGNOSIS//ICD//10//K9589,Other complications of other bariatric procedure
DIAGNOSIS//ICD//10//K316,Fistula of stomach and duodenum
DIAGNOSIS//ICD//10//M19011,"Primary osteoarthritis, right shoulder"
DIAGNOSIS//ICD//10//F3340,"Major depressive disorder, recurrent, in remission, unspecified"
DRG//HCFA//381//COMPLICATED PEPTIC ULCER W CC,
MEDICATION//CefTRIAXone//Started,
MEDICATION//CefTRIAXone//Stopped,
MEDICATION//START//Carbamide Peroxide 6.5%,
MEDICATION//Carbamide Peroxide 6.5%//Not Given,
MEDICATION//STOP//Carbamide Peroxide 6.5%,
MEDICATION//HydrOXYzine//Administered,
MEDICATION//Levothyroxine Sodium//Delayed Administered,
MEDICATION//START//Venetoclax,
MEDICATION//Venetoclax//Administered,
MEDICATION//Iohexol 240//Administered,
MEDICATION//START//Iohexol 240,
MEDICATION//STOP//Iohexol 240,
DIAGNOSIS//ICD//10//D509,"Iron deficiency anemia, unspecified"
DIAGNOSIS//ICD//10//T402X5A,"Adverse effect of other opioids, initial encounter"
DIAGNOSIS//ICD//10//K5900,"Constipation, unspecified"
DIAGNOSIS//ICD//10//R319,"Hematuria, unspecified"
DRG//APR//469//ACUTE KIDNEY INJURY,
MEDICATION//STOP//Venetoclax,
MEDICATION//CefePIME//Stopped,
HOSPITAL_ADMISSION//EW EMER.//PHYSICIAN REFERRAL,
DIAGNOSIS//ICD//10//R600,Localized edema
DIAGNOSIS//ICD//10//R1030,"Lower abdominal pain, unspecified"
DIAGNOSIS//ICD//10//M1990,"Unspecified osteoarthritis, unspecified site"
"DRG//HCFA//392//ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC",
DRG//APR//251//ABDOMINAL PAIN,
LAB//51196//ng/mL FEU,
LAB//51980//N/A,fentaNYL [Presence] in Urine
LAB//52020//UNK,UTX10
DIAGNOSIS//ICD//10//I82432,Acute embolism and thrombosis of left popliteal vein
DIAGNOSIS//ICD//10//R141,Gas pain
DIAGNOSIS//ICD//10//I472,Ventricular tachycardia
DIAGNOSIS//ICD//10//I2699,Other pulmonary embolism without acute cor pulmonale
DIAGNOSIS//ICD//10//D472,Monoclonal gammopathy
DRG//HCFA//176//PULMONARY EMBOLISM W/O MCC,
DRG//APR//134//PULMONARY EMBOLISM,
PROCEDURE//ICD//9//8604,Other incision with drainage of skin and subcutaneous tissue
MEDICATION//START//Morphine Sulfate IR,
LAB//227470//mm/hr,
MEDICATION//START//GlyBURIDE,
MEDICATION//STOP//Morphine Sulfate IR,
MEDICATION//START//Miconazole 2% Cream,
PROCEDURE//ICD//9//8669,Other skin graft to other sites
PROCEDURE//ICD//9//8344,Other fasciectomy
MEDICATION//STOP//Miconazole 2% Cream,
DIAGNOSIS//ICD//9//0380,Streptococcal septicemia
DIAGNOSIS//ICD//9//25062,"Diabetes with neurological manifestations, type II or unspecified type, uncontrolled"
DIAGNOSIS//ICD//9//70715,Ulcer of other part of foot
DIAGNOSIS//ICD//9//6827,"Cellulitis and abscess of foot, except toes"
DIAGNOSIS//ICD//9//6929,"Contact dermatitis and other eczema, unspecified cause"
DIAGNOSIS//ICD//9//3572,Polyneuropathy in diabetes
DIAGNOSIS//ICD//9//6826,"Cellulitis and abscess of leg, except foot"
DIAGNOSIS//ICD//9//25012,"Diabetes with ketoacidosis, type II or unspecified type, uncontrolled"
DRG//APR//710//INFECTIOUS & PARASITIC DISEASES INCLUDING HIV W O.R. PROCEDURE,
DRG//HCFA//853//INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,
MEDICATION//STOP//GlyBURIDE,
PROCEDURE//ICD//9//8622,"Excisional debridement of wound, infection, or burn"
TRANSFER_TO//admit//Vascular,
DRG//HCFA//571//SKIN DEBRIDEMENT W CC,
DRG//APR//380//SKIN ULCERS,
HCPCS//Hospital observation services,
HOSPITAL_ADMISSION//DIRECT EMER.//CLINIC REFERRAL,
PROCEDURE//ICD//9//7788,"Other partial ostectomy, tarsals and metatarsals"
DIAGNOSIS//ICD//9//25080,"Diabetes with other specified manifestations, type II or unspecified type, not stated as uncontrolled"
DIAGNOSIS//ICD//9//73027,"Unspecified osteomyelitis, ankle and foot"
DIAGNOSIS//ICD//9//7318,Other bone involvement in diseases classified elsewhere
DIAGNOSIS//ICD//9//25060,"Diabetes with neurological manifestations, type II or unspecified type, not stated as uncontrolled"
DRG//APR//314//FOOT & TOE PROCEDURES,
"DRG//HCFA//629//OTHER ENDOCRINE, NUTRIT & METAB O.R. PROC W CC",
PROCEDURE//ICD//9//7769,"Local excision of lesion or tissue of bone, other bones"
DIAGNOSIS//ICD//9//V180,Family history of diabetes mellitus
DIAGNOSIS//ICD//9//V0481,Need for prophylactic vaccination and inoculation against influenza
DIAGNOSIS//ICD//9//25082,"Diabetes with other specified manifestations, type II or unspecified type, uncontrolled"
DIAGNOSIS//ICD//9//04111,Methicillin susceptible Staphylococcus aureus in conditions classified elsewhere and of unspecified site
"DRG//HCFA//628//OTHER ENDOCRINE, NUTRIT & METAB O.R. PROC W MCC",
DRG//APR//320//OTHER MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE PROCEDURES,
MEDICATION//Meropenem//Delayed Administered,
MEDICATION//Aquaphor Ointment//Administered,
DIAGNOSIS//ICD//9//78701,Nausea with vomiting
DIAGNOSIS//ICD//9//V4972,Other toe(s) amputation status
DRG//HCFA//854//INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W CC,
MEDICATION//Lantus//Administered,
MEDICATION//Cephalexin//Administered,
DIAGNOSIS//ICD//10//E1140,"Type 2 diabetes mellitus with diabetic neuropathy, unspecified"
DIAGNOSIS//ICD//10//L97519,Non-pressure chronic ulcer of other part of right foot with unspecified severity
DIAGNOSIS//ICD//10//E11621,Type 2 diabetes mellitus with foot ulcer
LAB//51763//UNK,EE2
MEDICATION//DiphenhydrAMINE//Administered,
MEDICATION//START//LOPERamide,
MEDICATION//LOPERamide//Administered,
MEDICATION//Readi-Cat 2 (Barium Sulfate 2% Suspension)// in Other Location,
MEDICATION//STOP//LOPERamide,
MEDICATION//Terbinafine 1% Cream//Not Given,
MEDICATION//Terbinafine 1% Cream//Delayed Administered,
MEDICATION//START//Terbinafine 1% Cream,
MEDICATION//HydrOXYzine//Not Given,
MEDICATION//Terbinafine 1% Cream//Administered,
MEDICATION//HydrOXYzine//Delayed Administered,
MEDICATION//LOPERamide//Not Given,
MEDICATION//LOPERamide//Delayed Administered,
PROCEDURE//ICD//10//0S993ZX,"Drainage of Right Hip Joint, Percutaneous Approach, Diagnostic"
MEDICATION//CefTRIAXone//Delayed Administered,
LAB//51383//#/uL,Erythrocytes [#/volume] in Synovial fluid
LAB//52312//#/uL,Nucleated cells [#/volume] in Synovial fluid by Manual count
LAB//51373//UNK,Crystals [Presence] in Synovial fluid by Light microscopy
LAB//51382//%,Polymorphonuclear cells/100 leukocytes in Synovial fluid
LAB//51375//%,Lymphocytes/100 leukocytes in Synovial fluid
LAB//51379//%,Monocytes/100 leukocytes in Synovial fluid
LAB//51376//%,Macrophages/100 leukocytes in Synovial fluid
MEDICATION//START//ALPRAZolam,
MEDICATION//ALPRAZolam//Administered,
MEDICATION//Sodium Bicarbonate//Not Given,
MEDICATION//STOP//ALPRAZolam,
MEDICATION//START//amLODIPine,
MEDICATION//amLODIPine//Administered,
DIAGNOSIS//ICD//10//B356,Tinea cruris
DIAGNOSIS//ICD//10//R6520,Severe sepsis without septic shock
DIAGNOSIS//ICD//10//R5084,Febrile nonhemolytic transfusion reaction
DIAGNOSIS//ICD//10//A408,Other streptococcal sepsis
DIAGNOSIS//ICD//10//R197,"Diarrhea, unspecified"
DIAGNOSIS//ICD//10//E8339,Other disorders of phosphorus metabolism
DRG//HCFA//872//SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W/O MCC,
MEDICATION//STOP//Terbinafine 1% Cream,
MEDICATION//STOP//amLODIPine,
MEDICATION//Ciprofloxacin 0.3% Ophth Soln//Administered,
MEDICATION//Phenylephrine 2.5 % Ophth Soln//Administered,
MEDICATION//Tropicamide 1 %//Administered,
MEDICATION//Cyclopentolate 1%//Administered,
MEDICATION//Flurbiprofen 0.03%//Administered,
PROCEDURE//ICD//10//0JBQ0ZZ,"Excision of Right Foot Subcutaneous Tissue and Fascia, Open Approach"
PROCEDURE//ICD//10//0QBN0ZZ,"Excision of Right Metatarsal, Open Approach"
PROCEDURE//ICD//10//0Y6R0Z0,"Detachment at Right 2nd Toe, Complete, Open Approach"
MEDICATION//START//Calcitriol,
INFUSION_START//225860,"clindamycin Injection
clindamycin Oral Solution"
INFUSION_END//225860,"clindamycin Injection
clindamycin Oral Solution"
MEDICATION//Calcitriol//Administered,
MEDICATION//Clindamycin//Not Given,
PROCEDURE//ICD//10//5A1D70Z,"Performance of Urinary Filtration, Intermittent, Less than 6 Hours Per Day"
PROCEDURE//ICD//10//0JH63XZ,"Insertion of Tunneled Vascular Access Device into Chest Subcutaneous Tissue and Fascia, Percutaneous Approach"
MEDICATION//Calcitriol//Not Given,
PROCEDURE//ICD//10//0J2TXYZ,"Change Other Device in Trunk Subcutaneous Tissue and Fascia, External Approach"
MEDICATION//amLODIPine//Not Given,
MEDICATION//Alteplase//Administered,
MEDICATION//START//Hepatitis B Vaccine,
MEDICATION//STOP//Hepatitis B Vaccine,
MEDICATION//Hepatitis B Vaccine//Administered,
DIAGNOSIS//ICD//10//D329,"Benign neoplasm of meninges, unspecified"
DIAGNOSIS//ICD//10//L97514,Non-pressure chronic ulcer of other part of right foot with necrosis of bone
DIAGNOSIS//ICD//10//B181,Chronic viral hepatitis B without delta-agent
DIAGNOSIS//ICD//10//R488,Other symbolic dysfunctions
DIAGNOSIS//ICD//10//B954,Other streptococcus as the cause of diseases classified elsewhere
DIAGNOSIS//ICD//10//B966,Bacteroides fragilis [B. fragilis] as the cause of diseases classified elsewhere
DIAGNOSIS//ICD//10//Y831,"Surgical operation with implant of artificial internal device as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
DIAGNOSIS//ICD//10//M86171,"Other acute osteomyelitis, right ankle and foot"
DIAGNOSIS//ICD//10//Z89421,Acquired absence of other right toe(s)
DIAGNOSIS//ICD//10//E1169,Type 2 diabetes mellitus with other specified complication
DIAGNOSIS//ICD//10//M726,Necrotizing fasciitis
DIAGNOSIS//ICD//10//Y92230,Patient room in hospital as the place of occurrence of the external cause
DIAGNOSIS//ICD//10//T8249XA,"Other complication of vascular dialysis catheter, initial encounter"
DIAGNOSIS//ICD//10//E1152,Type 2 diabetes mellitus with diabetic peripheral angiopathy with gangrene
DIAGNOSIS//ICD//10//I120,Hypertensive chronic kidney disease with stage 5 chronic kidney disease or end stage renal disease
MEDICATION//STOP//Calcitriol,
PROCEDURE//ICD//10//02PAX3Z,"Removal of Infusion Device from Heart, External Approach"
PROCEDURE//ICD//10//0JPTXXZ,"Removal of Tunneled Vascular Access Device from Trunk Subcutaneous Tissue and Fascia, External Approach"
HOSPITAL_ADMISSION//OBSERVATION ADMIT//TRANSFER FROM SKILLED NURSING FACILITY,
MEDICATION//Hydrocerin//Not Given,
MEDICATION//START//Hydrocerin,
MEDICATION//Hydrocerin//Administered,
MEDICATION//UNK//UNK,
DIAGNOSIS//ICD//10//T827XXA,"Infection and inflammatory reaction due to other cardiac and vascular devices, implants and grafts, initial encounter"
DIAGNOSIS//ICD//10//I330,Acute and subacute infective endocarditis
DIAGNOSIS//ICD//10//E8770,"Fluid overload, unspecified"
DIAGNOSIS//ICD//10//L851,Acquired keratosis [keratoderma] palmaris et plantaris
DIAGNOSIS//ICD//10//A4102,Sepsis due to Methicillin resistant Staphylococcus aureus
"DRG//APR//466//MALFUNCTION, REACTION, COMPLIC OF GENITOURINARY DEVICE OR PROC",
DRG//HCFA//314//OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,
MEDICATION//STOP//Hydrocerin,
PROCEDURE//ICD//10//0QH736Z,"Insertion of Intramedullary Internal Fixation Device into Left Upper Femur, Percutaneous Approach"
TRANSFER_TO//transfer//Surgery/Trauma,
MEDICATION//START//Epoetin Alfa,
